rank,model,params,best_val_loss,final_val_mse,psnr_db,source_file
1,unet_deep,7762465,0.001908,0.001899,27.22,architecture_ablation.log
2,unet_deep_combined_loss,7762465,0.017955,0.001969,27.06,unet_deep_combined_loss.log
3,unet_deep_tanh,7762465,0.002010,0.001992,27.01,tanh_ablation.log
4,resnet_16blocks,1185025,0.002722,0.002556,25.92,resnet_ablation2.log
5,u_net_attention,7786602,0.002867,0.002559,25.92,advanced_test.log
6,u_net_attention_large_tanh,7786602,0.002815,0.002561,25.92,tanh_ablation.log
7,unet_deep_nvidia_loss,7762465,0.033145,0.002576,25.89,space_data_1783663.log
8,res_net_tanh,1185025,0.002636,0.002598,25.85,tanh_ablation.log
9,unet_combined,1926433,0.021758,0.002609,25.84,loss_ablation.log
10,unet_l1,1926433,0.039827,0.002637,25.79,loss_ablation.log
11,res_net,1185025,0.002662,0.002640,25.78,advanced_test_2.log
12,unet_adamw,1926433,0.002704,0.002647,25.77,optimizer_ablation.log
13,u_net_attention_medium_tanh,1948730,0.002842,0.002649,25.77,tanh_ablation.log
14,res_net_attention,1185025,0.021197,0.002681,25.72,attention_ablation.log
15,u_net_attention_deep,1948730,0.021893,0.002692,25.70,attention_ablation.log
16,u_net_attention_medium,1948730,0.002912,0.002741,25.62,tanh_ablation.log
17,res_unet,2012481,0.002824,0.002771,25.57,architecture_ablation.log
18,unet_large_batch,1926433,0.002789,0.002789,25.55,optimizer_ablation.log
19,unet_baseline,1926433,0.002783,0.002783,25.55,capacity_ablation.log
20,unet_small,482449,0.002794,0.002794,25.54,capacity_ablation.log
21,u_net_medium_tanh,1926433,0.002819,0.002819,25.50,tanh_ablation.log
22,u_net_large_tanh,7699009,0.002838,0.002838,25.47,tanh_ablation.log
23,unet_nvidia_loss,1926433,0.034965,0.002867,25.43,loss_ablation.log
24,resnet_8blocks,593153,0.002979,0.002969,25.27,resnet_ablation1.log
25,unet_large,7699009,0.003118,0.003118,25.06,capacity_ablation.log
26,u_net,7699009,0.003189,0.003157,25.01,advanced_test.log
27,resnet_16blocks_nvidia,1185025,0.035206,0.003193,24.96,space_data_1783663.log
28,autoencoder,1732897,0.003370,0.003334,24.77,architecture_ablation.log
29,resnet_16blocks,1185025,0.003011,,,resnet_ablation1.log
30,res_net,1185025,0.002604,,,advanced_test.log
31,resnet_16blocks_combined,1185025,0.032733,,,space_data_1783663.log
32,unet_deep_nvidia_loss,7762465,,,,unet_deep_combined_loss.log
